Эксперемент над файлом DATA/1.txt
Энтропия файла - 5.834143
Символ:	Кол-во в файле:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	24341
10	17695
11	0
12	0
13	17695
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	161059
33	2316
34	139474
35	3113
36	372
37	12383
38	10001
39	3126
40	16634
41	16660
42	1013
43	3545
44	47076
45	72005
46	52193
47	33926
48	45435
49	34938
50	33762
51	21466
52	18089
53	20871
54	17219
55	12150
56	17533
57	12727
58	57998
59	24352
60	21806
61	36545
62	21814
63	2700
64	459
65	11465
66	8458
67	10394
68	9908
69	10466
70	5504
71	4252
72	4382
73	7644
74	2605
75	3912
76	5325
77	6138
78	5446
79	5133
80	5630
81	4806
82	5387
83	6515
84	8885
85	5787
86	3733
87	3865
88	3164
89	4485
90	3101
91	5082
92	13683
93	5089
94	213
95	63467
96	120
97	146917
98	45647
99	80330
100	83795
101	192945
102	39611
103	42950
104	45550
105	136249
106	8595
107	21923
108	92481
109	57854
110	110539
111	118419
112	62430
113	9430
114	113563
115	122359
116	164271
117	59412
118	33512
119	24555
120	23325
121	25632
122	7124
123	21295
124	3540
125	21284
126	105
127	0
128	0
129	0
130	0
131	0
132	0
133	27
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	3
150	51
151	44
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	2
170	0
171	44
172	0
173	0
174	0
175	0
176	4
177	0
178	0
179	0
180	0
181	0
182	0
183	4
184	130
185	5
186	0
187	45
188	0
189	0
190	0
191	4
192	266
193	135
194	606
195	82
196	471
197	94
198	28
199	138
200	239
201	3
202	302
203	100
204	271
205	308
206	314
207	858
208	246
209	604
210	169
211	160
212	129
213	47
214	8
215	41
216	76
217	0
218	0
219	5
220	6
221	90
222	4
223	109
224	7683
225	1722
226	3749
227	977
228	2999
229	8296
230	758
231	1632
232	7403
233	1527
234	3323
235	3434
236	2564
237	5689
238	9302
239	2418
240	4999
241	4818
242	6156
243	2050
244	355
245	425
246	397
247	908
248	491
249	413
250	27
251	1702
252	2023
253	131
254	403
255	1555

Время сжатия для Шенона-Фано
6.996727

Время распаковки для Шенона-Фано
19.070498

Время сжатия для Хафмена
6.536936

Время распаковки для Хафмена
21.067361
Коэффициен сжатия для .shan - 0.735928
Коэффициен сжатия для .lz775 - 1.034608
Коэффициен сжатия для .lz7710 - 0.928713
Коэффициен сжатия для .lz7720 - 0.875445
Коэффициен сжатия для .huff - 0.734063
