______________________________________________
Эксперемент над файлом DATA/2.docx
Энтропия файла - 192585965.209760
Символ:	Частота:
0	237032
1	65993
2	61681
3	40089
4	60992
5	37612
6	35194
7	38588
8	54882
9	38118
10	40706
11	36881
12	43596
13	37584
14	36608
15	43422
16	51995
17	43170
18	38184
19	36811
20	42205
21	39785
22	37055
23	39357
24	37308
25	36966
26	38186
27	41670
28	37900
29	41594
30	40382
31	50371
32	236215
33	37012
34	40854
35	41121
36	45587
37	39320
38	38090
39	39705
40	39437
41	40088
42	41083
43	39425
44	38979
45	42480
46	40923
47	44460
48	36598
49	39637
50	39449
51	38485
52	40627
53	40422
54	42277
55	44879
56	37243
57	38397
58	41983
59	42147
60	39861
61	45674
62	43669
63	56577
64	57671
65	37624
66	36931
67	39303
68	39718
69	43127
70	39610
71	44044
72	42466
73	45866
74	39141
75	42958
76	37161
77	45310
78	37428
79	47275
80	39434
81	40452
82	42015
83	42460
84	42558
85	46087
86	42309
87	43084
88	38955
89	41719
90	43036
91	46818
92	40285
93	45596
94	80251
95	49557
96	35512
97	39478
98	39528
99	44568
100	42621
101	46083
102	42038
103	42405
104	38367
105	45917
106	41916
107	45275
108	42277
109	51338
110	50269
111	55219
112	38068
113	41203
114	42462
115	44676
116	45494
117	89911
118	45457
119	48058
120	40224
121	40779
122	42921
123	105075
124	40253
125	48078
126	66572
127	71623
128	54494
129	37010
130	36405
131	36094
132	34152
133	35991
134	39600
135	40971
136	38101
137	37124
138	43896
139	39718
140	38205
141	42436
142	44334
143	48171
144	39815
145	41022
146	45813
147	40660
148	38849
149	41735
150	44744
151	42487
152	37127
153	40239
154	42496
155	44148
156	36219
157	41978
158	44330
159	49021
160	39300
161	37559
162	39825
163	41183
164	40101
165	43014
166	43201
167	46914
168	38951
169	43763
170	45342
171	45119
172	40541
173	47446
174	45585
175	88155
176	36657
177	42192
178	42911
179	42773
180	40871
181	47213
182	48821
183	55250
184	41299
185	45075
186	90655
187	50035
188	40649
189	105044
190	45041
191	80793
192	35720
193	35718
194	35322
195	41961
196	37972
197	41024
198	41377
199	48728
200	38817
201	42359
202	39869
203	44934
204	40052
205	42727
206	40359
207	46310
208	37909
209	41288
210	42269
211	47219
212	41946
213	45962
214	47379
215	91273
216	40727
217	44024
218	44886
219	56999
220	46546
221	94759
222	63419
223	80373
224	35669
225	39645
226	41011
227	47420
228	41790
229	43748
230	42458
231	46288
232	40784
233	45338
234	44722
235	92122
236	44485
237	51759
238	93039
239	91098
240	39444
241	45998
242	44061
243	45948
244	44385
245	49093
246	50561
247	137683
248	45939
249	48525
250	50228
251	82184
252	54476
253	83243
254	70069
255	123585


Время сжатия для Шенона-Фано
11713843799

Время распаковки для Шенона-Фано
43655737500

Время сжатия для Хафмена
11391213499

Время распаковки для Хафмена
43282432499

Время сжатия для LZ77_5
265164266199

Время распаковки для LZ77_5
4241860100

Время сжатия для LZ77_10
511434017999

Время распаковки для LZ77_10
4107012700

Время сжатия для LZ77_20
961972334799

Время распаковки для LZ77_20
4206858399

Коэффициен сжатия для .shan - 0.993796
Коэффициен сжатия для .lz775 - 3.639652
Коэффициен сжатия для .lz7710 - 3.492908
Коэффициен сжатия для .lz7720 - 3.632257
Коэффициен сжатия для .huff - 0.991659

