Эксперемент над файлом DATA/3.pptx
Энтропия файла - 7.903426
Символ:	Кол-во в файле:
0	117336
1	17424
2	15026
3	16828
4	15296
5	12018
6	17015
7	12300
8	16908
9	11850
10	11717
11	11359
12	11377
13	11979
14	11833
15	11249
16	13232
17	11097
18	11828
19	10541
20	17729
21	11586
22	10944
23	12913
24	11344
25	10938
26	12496
27	12200
28	11287
29	11822
30	11650
31	11861
32	26506
33	16336
34	12655
35	11286
36	11937
37	11542
38	10808
39	11052
40	11860
41	12079
42	11472
43	11433
44	12526
45	14541
46	19241
47	24353
48	15054
49	12938
50	11360
51	12573
52	13411
53	12438
54	12992
55	14220
56	13963
57	12246
58	11483
59	11778
60	11273
61	11250
62	12257
63	12349
64	11186
65	12423
66	10754
67	11685
68	12019
69	11646
70	11167
71	11571
72	10852
73	12033
74	10816
75	18147
76	11468
77	12056
78	11396
79	10419
80	15408
81	12490
82	11220
83	11215
84	11281
85	12167
86	11197
87	11141
88	11121
89	11775
90	11731
91	12349
92	11567
93	12044
94	12818
95	13888
96	11819
97	13863
98	10979
99	11278
100	20459
101	26806
102	12322
103	12216
104	11107
105	21693
106	12185
107	10463
108	29384
109	17882
110	14558
111	13047
112	21291
113	10785
114	16309
115	28441
116	17685
117	11352
118	12971
119	12933
120	16759
121	11209
122	10735
123	10947
124	11662
125	11995
126	11120
127	11521
128	11563
129	11059
130	11315
131	11693
132	11097
133	11041
134	12290
135	11864
136	10823
137	10981
138	11108
139	11416
140	11723
141	11227
142	11801
143	10861
144	12753
145	10736
146	12155
147	10942
148	11426
149	11117
150	12166
151	11052
152	11097
153	10572
154	11861
155	11388
156	11097
157	10916
158	10907
159	11107
160	10398
161	12619
162	11378
163	11356
164	11390
165	12119
166	12466
167	11028
168	10811
169	11489
170	12775
171	11232
172	11080
173	11250
174	11177
175	11399
176	12320
177	11056
178	12681
179	11898
180	11005
181	11240
182	11915
183	11857
184	10865
185	10902
186	12317
187	11587
188	11385
189	12806
190	11560
191	12444
192	12532
193	11382
194	11248
195	11877
196	11237
197	11472
198	10740
199	10971
200	11594
201	11014
202	11071
203	11860
204	11771
205	11615
206	11525
207	12716
208	11878
209	11185
210	11574
211	11861
212	11651
213	11893
214	10259
215	11744
216	12142
217	12082
218	10585
219	13298
220	10886
221	12173
222	11385
223	12165
224	11843
225	10551
226	11587
227	11907
228	11653
229	11055
230	10961
231	11180
232	11513
233	11753
234	11207
235	10749
236	12870
237	11345
238	10922
239	12032
240	12299
241	11439
242	11673
243	10986
244	10972
245	11826
246	11829
247	11012
248	11605
249	11586
250	11142
251	11862
252	11945
253	11184
254	12182
255	16315

Время сжатия для Шенона-Фано
8.068896

Время распаковки для Шенона-Фано
28.193274

Время сжатия для Хафмена
7.745247

Время распаковки для Хафмена
30.767180

Время сжатия для LZ77_5
359.290112

Время распаковки для LZ77_5
3.707150

Время сжатия для LZ77_10
402.060137

Время распаковки для LZ77_10
4.366230

Время сжатия для LZ77_20
621.418240

Время распаковки для LZ77_20
3.088740

Коэффициен сжатия для .shan - 0.994652
Коэффициен сжатия для .lz775 - 3.729333
Коэффициен сжатия для .lz7710 - 3.565275
Коэффициен сжатия для .lz7720 - 3.473310
Коэффициен сжатия для .huff - 0.992249
