Эксперемент над файлом DATA/4.png
Энтропия файла - 7.931402
Символ:	Кол-во в файле:
0	18191
1	8533
2	9848
3	8341
4	16854
5	10370
6	8621
7	10759
8	25905
9	10248
10	8921
11	10725
12	8271
13	7157
14	9928
15	11910
16	26181
17	9853
18	9602
19	11110
20	11168
21	11173
22	10742
23	12578
24	12917
25	8624
26	8660
27	9951
28	12381
29	11661
30	13073
31	16682
32	15148
33	17720
34	10004
35	10356
36	10563
37	8969
38	9240
39	13728
40	11876
41	9445
42	11639
43	10734
44	10850
45	10036
46	14292
47	12302
48	8769
49	14333
50	7691
51	11786
52	7850
53	11140
54	10602
55	11071
56	12743
57	14744
58	15960
59	15449
60	13668
61	18140
62	19746
63	18891
64	8294
65	16313
66	19321
67	8198
68	9464
69	12879
70	8242
71	14747
72	9211
73	10619
74	8880
75	10404
76	10528
77	10061
78	14316
79	14853
80	9188
81	13835
82	8803
83	12406
84	11788
85	18123
86	12450
87	15711
88	11363
89	10976
90	11452
91	15453
92	17043
93	18004
94	14339
95	17379
96	9919
97	7852
98	10274
99	17696
100	8155
101	10480
102	7685
103	18706
104	9380
105	10775
106	11314
107	17307
108	11619
109	15260
110	14388
111	14469
112	12496
113	16689
114	11597
115	20507
116	14345
117	20935
118	14900
119	17655
120	11559
121	15225
122	12452
123	22008
124	17354
125	22462
126	20224
127	19364
128	8505
129	9685
130	16590
131	11130
132	20013
133	9560
134	6669
135	11265
136	9607
137	10571
138	14142
139	12213
140	13321
141	11258
142	14423
143	18032
144	6931
145	10153
146	9737
147	11906
148	9733
149	10951
150	9994
151	14009
152	9891
153	10789
154	10068
155	11769
156	15127
157	19277
158	18682
159	22397
160	9320
161	10071
162	12589
163	12909
164	9352
165	10381
166	11022
167	15535
168	11373
169	11947
170	18232
171	17573
172	11631
173	16956
174	20527
175	19489
176	9163
177	12913
178	10805
179	14784
180	11869
181	17901
182	16377
183	17268
184	16005
185	17016
186	19098
187	17005
188	13309
189	16463
190	19896
191	20611
192	9708
193	11871
194	9959
195	9708
196	10854
197	13401
198	16299
199	17346
200	8089
201	11082
202	12263
203	13569
204	10436
205	11977
206	20238
207	25873
208	9921
209	11434
210	10594
211	14352
212	11812
213	17576
214	15814
215	24193
216	11223
217	14482
218	18439
219	17979
220	16341
221	18411
222	15430
223	23404
224	12052
225	11716
226	13942
227	16420
228	11092
229	15280
230	14594
231	27455
232	11972
233	14366
234	17937
235	22783
236	14132
237	21327
238	20159
239	24303
240	11065
241	13925
242	14671
243	21618
244	11976
245	19625
246	20732
247	26753
248	13421
249	21164
250	19213
251	25313
252	17225
253	22239
254	19813
255	17881

Время сжатия для Шенона-Фано:
8.379106 c

Время распаковки для Шенона-Фано:
33.813597 c

Время сжатия для Хафмена:
8.388339 c

Время распаковки для Хафмена:
25.172781 c

Время сжатия для LZ77_5:
168.557671 c

Время распаковки для LZ77_5:
3.001428 c

Время сжатия для LZ77_10:
277.231732 c

Время распаковки для LZ77_10:
2.426226 c

Время сжатия для LZ77_20:
524.088353 c

Время распаковки для LZ77_20:
2.433627 c


Время сжатия для LZ77_5 + Хафмен
160.343842 c

Время распаковки для LZ77_5 + Хафмен
45.335965 c

Время сжатия для LZ77_10 + Хафмен
290.360017 c

Время распаковки для LZ77_10 + Хафмен
43.456889 c

Время сжатия для LZ77_20 + Хафмен
547.393686 c

Время распаковки для LZ77_20 + Хафмен
42.628340 c

Время сжатия для LZ77_5 + Шенон-Фано
160.365091 c

Время распаковки для LZ77_5 + Шенон-Фано
43.865531 c

Время сжатия для LZ77_10 + Шенон-Фано
285.207656 c

Время распаковки для LZ77_10 + Шенон-Фано
47.173547 c

Время сжатия для LZ77_20 + Шенон-Фано
462.147332 c

Время распаковки для LZ77_20 + Шенон-Фано
27.732955 c

Коэффициен сжатия для .shan - 1.000243
Коэффициен сжатия для .lz775 - 4.071374
Коэффициен сжатия для .lz7710 - 3.905638
Коэффициен сжатия для .lz7720 - 4.012778
Коэффициен сжатия для .huff - 0.996644
Коэффициен сжатия для .lz775h - 2.031666
Коэффициен сжатия для .lz7710h - 1.938703
Коэффициен сжатия для .lz7720h - 1.947019
Коэффициен сжатия для .lz775sh_f - 2.066435
Коэффициен сжатия для .lz7710sh_f - 1.955667
Коэффициен сжатия для .lz7720sh_f - 1.958455
