Эксперемент над файлом DATA/5.pdf
Энтропия файла - 7.916252
Символ:	Кол-во в файле:
0	14583
1	11250
2	10933
3	10849
4	10979
5	11575
6	10735
7	11088
8	10886
9	10909
10	15517
11	10862
12	11012
13	13031
14	10783
15	11172
16	11042
17	10808
18	11070
19	10705
20	10829
21	10933
22	11000
23	11146
24	11191
25	11000
26	11224
27	10985
28	11016
29	10878
30	11240
31	11180
32	107602
33	10913
34	12014
35	12008
36	10992
37	10938
38	11827
39	10973
40	11222
41	11179
42	10803
43	12275
44	11145
45	11490
46	13158
47	20829
48	31211
49	16601
50	15108
51	15073
52	14301
53	14849
54	14217
55	14360
56	15073
57	13553
58	17310
59	11957
60	18053
61	12400
62	17907
63	11394
64	10739
65	14214
66	12770
67	13173
68	12856
69	12622
70	13789
71	16289
72	12241
73	12212
74	12105
75	12763
76	12108
77	13219
78	13215
79	12223
80	13457
81	11945
82	14110
83	13212
84	14407
85	12377
86	12929
87	12459
88	12615
89	12958
90	12221
91	11849
92	11045
93	11486
94	10900
95	11278
96	10756
97	22903
98	14085
99	15270
100	15936
101	21764
102	13991
103	13452
104	13103
105	14961
106	13343
107	13084
108	15648
109	15173
110	16183
111	17336
112	19101
113	13066
114	16946
115	15088
116	18211
117	13340
118	12658
119	13202
120	18548
121	14916
122	12153
123	11221
124	11293
125	11004
126	11609
127	11014
128	10384
129	11112
130	10881
131	11249
132	10899
133	10650
134	10920
135	11108
136	10873
137	11104
138	10932
139	11158
140	10954
141	11253
142	10955
143	11037
144	11358
145	10715
146	11034
147	11448
148	11008
149	10756
150	10805
151	11142
152	11010
153	11109
154	11148
155	11157
156	11048
157	11011
158	11183
159	10980
160	10770
161	11011
162	10878
163	10826
164	10831
165	11071
166	11140
167	11165
168	10855
169	11163
170	11081
171	11374
172	11205
173	11037
174	11321
175	11033
176	10820
177	11051
178	11223
179	10959
180	11132
181	10937
182	11022
183	11240
184	10752
185	11301
186	11040
187	10963
188	10906
189	11195
190	11257
191	11071
192	10860
193	10952
194	11129
195	11369
196	10924
197	10926
198	11095
199	11280
200	11023
201	11041
202	10967
203	11292
204	11154
205	10718
206	11236
207	11327
208	11044
209	11093
210	10643
211	10943
212	11341
213	11311
214	11110
215	11265
216	11160
217	11161
218	11120
219	11091
220	10920
221	11112
222	11108
223	11174
224	10973
225	11118
226	11489
227	11352
228	11042
229	10914
230	10746
231	11378
232	10954
233	11132
234	11292
235	10849
236	11058
237	11064
238	10858
239	10863
240	10951
241	11120
242	10918
243	11188
244	11025
245	11112
246	11244
247	11217
248	10913
249	11329
250	11199
251	10975
252	10992
253	11097
254	10808
255	12383

Время сжатия для Шенона-Фано
7.734933

Время распаковки для Шенона-Фано
27.028825

Время сжатия для Хафмена
7.575736

Время распаковки для Хафмена
28.836717

Время сжатия для LZ77_5
394.955659

Время распаковки для LZ77_5
3.743791

Время сжатия для LZ77_10
437.377627

Время распаковки для LZ77_10
3.484425

Время сжатия для LZ77_20
678.400360

Время распаковки для LZ77_20
2.765169

Коэффициен сжатия для .shan - 0.995981
Коэффициен сжатия для .lz775 - 3.978539
Коэффициен сжатия для .lz7710 - 3.867993
Коэффициен сжатия для .lz7720 - 4.039339
Коэффициен сжатия для .huff - 0.993860
