Эксперемент над файлом DATA/6.xlsx
Энтропия файла - 7.991417
Символ:	Кол-во в файле:
0	12963
1	12047
2	14443
3	13159
4	13789
5	13902
6	12411
7	12578
8	13863
9	13119
10	12844
11	14130
12	13945
13	12168
14	15114
15	12723
16	13785
17	14069
18	13600
19	13572
20	13825
21	14271
22	15798
23	13027
24	13799
25	14105
26	13845
27	13111
28	14772
29	14452
30	11895
31	13537
32	13470
33	13516
34	15862
35	13293
36	17014
37	11613
38	18557
39	13987
40	13994
41	12860
42	13003
43	13406
44	15119
45	10945
46	12650
47	11387
48	17931
49	13780
50	14004
51	16537
52	11929
53	14302
54	11911
55	12853
56	15632
57	15050
58	14473
59	14693
60	12491
61	13239
62	14568
63	14014
64	13120
65	12394
66	12839
67	14299
68	13975
69	15541
70	13241
71	12468
72	12800
73	18928
74	12230
75	10600
76	17698
77	11750
78	15653
79	13817
80	13429
81	13464
82	12207
83	13175
84	12129
85	14222
86	13013
87	13261
88	14347
89	15002
90	13503
91	11317
92	14117
93	12758
94	13261
95	12073
96	15359
97	14770
98	14551
99	13947
100	15731
101	11946
102	16834
103	13887
104	11933
105	11651
106	12975
107	14981
108	12380
109	11629
110	10679
111	13711
112	14345
113	13957
114	15358
115	14999
116	12784
117	13289
118	12345
119	15158
120	12278
121	12511
122	13782
123	12373
124	15346
125	13766
126	12548
127	14677
128	12043
129	15338
130	13056
131	11823
132	13014
133	13287
134	13638
135	15286
136	14126
137	14149
138	15199
139	14603
140	13922
141	14812
142	14126
143	12900
144	13270
145	14954
146	15451
147	19305
148	12887
149	12021
150	10081
151	11326
152	18095
153	16448
154	12214
155	11768
156	16509
157	14687
158	13725
159	14982
160	12020
161	13560
162	13480
163	12299
164	14610
165	10992
166	10888
167	15374
168	12797
169	12788
170	13528
171	13012
172	14578
173	13847
174	14390
175	13746
176	12334
177	14705
178	13790
179	13622
180	11733
181	13672
182	11907
183	11099
184	12314
185	15183
186	11571
187	12723
188	12463
189	13192
190	14817
191	12887
192	14730
193	12956
194	13572
195	14590
196	14234
197	13932
198	15544
199	14455
200	15334
201	15608
202	13297
203	11109
204	17168
205	12221
206	15656
207	14831
208	12062
209	12346
210	13165
211	12845
212	13430
213	12249
214	15384
215	14670
216	12811
217	12246
218	12052
219	12045
220	13150
221	11796
222	12199
223	15632
224	11681
225	13316
226	13501
227	15854
228	15298
229	12692
230	12406
231	16232
232	12342
233	14403
234	12671
235	15247
236	12615
237	12340
238	14418
239	14208
240	11049
241	15712
242	12491
243	13880
244	13982
245	14344
246	12439
247	13479
248	14210
249	13805
250	14227
251	13538
252	12905
253	14229
254	14693
255	13013

Время сжатия для Шенона-Фано:
8.291423 c

Время распаковки для Шенона-Фано:
32.621095 c

Время сжатия для Хафмена:
8.097978 c

Время распаковки для Хафмена:
25.653018 c

Время сжатия для LZ77_5:
156.764273 c

Время распаковки для LZ77_5:
3.924612 c

Время сжатия для LZ77_10:
270.087844 c

Время распаковки для LZ77_10:
2.300824 c

Время сжатия для LZ77_20:
507.563554 c

Время распаковки для LZ77_20:
2.358691 c


Время сжатия для LZ77_5 + Хафмен
153.293892 c

Время распаковки для LZ77_5 + Хафмен
44.321599 c

Время сжатия для LZ77_10 + Хафмен
278.842008 c

Время распаковки для LZ77_10 + Хафмен
41.043484 c

Время сжатия для LZ77_20 + Хафмен
530.613367 c

Время распаковки для LZ77_20 + Хафмен
41.141984 c

Время сжатия для LZ77_5 + Шенон-Фано
152.644204 c

Время распаковки для LZ77_5 + Шенон-Фано
43.622946 c

Время сжатия для LZ77_10 + Шенон-Фано
274.779374 c

Время распаковки для LZ77_10 + Шенон-Фано
41.189519 c

Время сжатия для LZ77_20 + Шенон-Фано
476.169300 c

Время распаковки для LZ77_20 + Шенон-Фано
32.341872 c

Коэффициен сжатия для .shan - 1.003966
Коэффициен сжатия для .lz775 - 3.915367
Коэффициен сжатия для .lz7710 - 3.774590
Коэффициен сжатия для .lz7720 - 3.919963
Коэффициен сжатия для .huff - 1.000957
Коэффициен сжатия для .lz775h - 1.953478
Коэффициен сжатия для .lz7710h - 1.881314
Коэффициен сжатия для .lz7720h - 1.907618
Коэффициен сжатия для .lz775sh_f - 1.994396
Коэффициен сжатия для .lz7710sh_f - 1.903968
Коэффициен сжатия для .lz7720sh_f - 1.918833
