Эксперемент над файлом DATA/7.bmp
Энтропия файла - 2.323290
Символ:	Кол-во в файле:
0	2532405
1	21421
2	18433
3	11699
4	6737
5	4340
6	2918
7	2321
8	1875
9	1796
10	1662
11	1548
12	1438
13	1406
14	1314
15	1182
16	1073
17	1072
18	1057
19	1112
20	1097
21	1183
22	1466
23	2868
24	7416
25	13109
26	9222
27	4401
28	2784
29	2280
30	2023
31	1882
32	1765
33	1816
34	1744
35	1692
36	1661
37	1604
38	1620
39	1475
40	1489
41	1472
42	1527
43	1732
44	1782
45	1571
46	1712
47	1677
48	1514
49	1626
50	1607
51	1852
52	1905
53	1753
54	1755
55	1839
56	1933
57	1939
58	1816
59	1912
60	2022
61	2076
62	2164
63	2071
64	2342
65	2336
66	2357
67	2481
68	2585
69	2685
70	2642
71	2595
72	2940
73	3317
74	3230
75	3233
76	3576
77	3377
78	3089
79	2824
80	2755
81	2807
82	2530
83	2655
84	2639
85	2451
86	2531
87	2567
88	2520
89	2408
90	2457
91	2568
92	2624
93	2426
94	2450
95	2574
96	2949
97	2945
98	2746
99	2955
100	2998
101	2912
102	3271
103	3413
104	3225
105	3188
106	3321
107	2936
108	3169
109	3344
110	2955
111	2808
112	2830
113	2637
114	2497
115	2321
116	2166
117	1986
118	2060
119	2035
120	2000
121	2087
122	1997
123	1978
124	2016
125	1875
126	2040
127	1962
128	1988
129	1759
130	1837
131	1998
132	1877
133	1874
134	1768
135	1841
136	1971
137	1993
138	1965
139	2079
140	1925
141	1983
142	2005
143	2001
144	2004
145	2156
146	2078
147	1996
148	2193
149	2188
150	2372
151	3341
152	7309
153	29390
154	6916
155	3106
156	1848
157	1687
158	1602
159	1592
160	1701
161	1796
162	1712
163	1606
164	1840
165	1768
166	1758
167	2112
168	2483
169	5071
170	13901
171	4651
172	2417
173	1863
174	1598
175	1849
176	1621
177	1535
178	1399
179	1686
180	1603
181	2684
182	2781
183	2373
184	1036
185	1328
186	726
187	257
188	250
189	238
190	183
191	289
192	191
193	181
194	135
195	187
196	231
197	253
198	214
199	292
200	439
201	524
202	537
203	550
204	4012
205	704
206	580
207	727
208	810
209	622
210	754
211	761
212	715
213	901
214	783
215	665
216	765
217	872
218	762
219	848
220	879
221	816
222	910
223	934
224	818
225	839
226	952
227	1835
228	6834
229	17399
230	3039
231	1250
232	516
233	316
234	353
235	149
236	141
237	133
238	134
239	179
240	144
241	172
242	180
243	243
244	224
245	219
246	230
247	270
248	354
249	441
250	557
251	975
252	1545
253	2113
254	3356
255	219409

Время сжатия для Шенона-Фано:
5.068037 c

Время распаковки для Шенона-Фано:
9.770434 c

Время сжатия для Хафмена:
4.409889 c

Время распаковки для Хафмена:
10.177819 c

Время сжатия для LZ77_5:
49.823543 c

Время распаковки для LZ77_5:
1.948754 c

Время сжатия для LZ77_10:
64.385624 c

Время распаковки для LZ77_10:
2.510993 c

Время сжатия для LZ77_20:
101.794294 c

Время распаковки для LZ77_20:
2.506279 c


Время сжатия для LZ77_5 + Хафмен
45.820940 c

Время распаковки для LZ77_5 + Хафмен
7.628248 c

Время сжатия для LZ77_10 + Хафмен
68.389686 c

Время распаковки для LZ77_10 + Хафмен
7.458702 c

Время сжатия для LZ77_20 + Хафмен
103.622539 c

Время распаковки для LZ77_20 + Хафмен
7.362167 c

Время сжатия для LZ77_5 + Шенон-Фано
50.564639 c

Время распаковки для LZ77_5 + Шенон-Фано
7.579369 c

Время сжатия для LZ77_10 + Шенон-Фано
64.932323 c

Время распаковки для LZ77_10 + Шенон-Фано
7.761545 c

Время сжатия для LZ77_20 + Шенон-Фано
105.492719 c

Время распаковки для LZ77_20 + Шенон-Фано
7.497997 c

Коэффициен сжатия для .shan - 0.317442
Коэффициен сжатия для .lz775 - 0.342718
Коэффициен сжатия для .lz7710 - 0.321114
Коэффициен сжатия для .lz7720 - 0.323972
Коэффициен сжатия для .huff - 0.316904
Коэффициен сжатия для .lz775h - 0.169402
Коэффициен сжатия для .lz7710h - 0.160938
Коэффициен сжатия для .lz7720h - 0.160676
Коэффициен сжатия для .lz775sh_f - 0.169925
Коэффициен сжатия для .lz7710sh_f - 0.161704
Коэффициен сжатия для .lz7720sh_f - 0.160903
