Эксперемент над файлом DATA/2.docx
Энтропия файла - 7.803087
Символ:	Кол-во в файле:
0	75865
1	16207
2	14972
3	8948
4	14919
5	7742
6	7347
7	8854
8	13460
9	8160
10	8272
11	8584
12	9955
13	8705
14	7868
15	10433
16	12502
17	8454
18	8037
19	8129
20	8297
21	9697
22	8517
23	9319
24	7514
25	8183
26	8373
27	10722
28	8118
29	10437
30	9441
31	12893
32	72842
33	7683
34	7840
35	9749
36	10833
37	9000
38	8409
39	9513
40	7797
41	8938
42	9897
43	9665
44	9120
45	10506
46	9440
47	11426
48	7126
49	8779
50	8870
51	8981
52	8929
53	9292
54	11049
55	11854
56	7591
57	8037
58	9979
59	11227
60	9035
61	11934
62	10900
63	15186
64	13581
65	8277
66	7527
67	8996
68	7580
69	9759
70	9310
71	11448
72	9446
73	11546
74	8187
75	10687
76	7724
77	11309
78	8194
79	12486
80	8010
81	8961
82	9360
83	10171
84	9613
85	11939
86	10541
87	11055
88	9340
89	10136
90	9970
91	12742
92	8847
93	11744
94	26390
95	13405
96	7283
97	8896
98	9249
99	10849
100	10238
101	11639
102	10236
103	10990
104	9012
105	11340
106	9961
107	11098
108	10642
109	14667
110	14039
111	16176
112	8448
113	9965
114	9910
115	10452
116	11298
117	29996
118	12314
119	13207
120	9659
121	9548
122	10395
123	37113
124	10029
125	12820
126	20122
127	22286
128	12639
129	8093
130	8070
131	7982
132	6810
133	7929
134	9137
135	9454
136	7353
137	8170
138	10391
139	9460
140	8206
141	10181
142	11111
143	12359
144	8757
145	9721
146	11669
147	9546
148	8427
149	10077
150	11345
151	10484
152	7656
153	9311
154	10080
155	11579
156	7043
157	10550
158	11362
159	13174
160	7947
161	8420
162	8951
163	10135
164	9491
165	9959
166	10177
167	11566
168	8686
169	10530
170	11091
171	11894
172	9860
173	11855
174	11471
175	29581
176	8248
177	10496
178	10776
179	10778
180	10123
181	11557
182	13864
183	16231
184	10688
185	11219
186	30437
187	13779
188	10204
189	37334
190	11942
191	26196
192	7208
193	8108
194	7845
195	9889
196	8645
197	10602
198	9681
199	12025
200	9124
201	10196
202	9658
203	10989
204	9610
205	10457
206	9193
207	12291
208	8324
209	10250
210	10640
211	11579
212	10178
213	11650
214	11899
215	29980
216	10243
217	11711
218	12168
219	16878
220	12956
221	32123
222	19915
223	26973
224	7786
225	9630
226	10507
227	11900
228	10149
229	10645
230	10353
231	11231
232	9683
233	11093
234	11910
235	30284
236	12342
237	15038
238	32145
239	30891
240	9611
241	11862
242	11302
243	11738
244	10947
245	12972
246	14247
247	50880
248	11700
249	13340
250	13384
251	26663
252	15208
253	26878
254	21703
255	43612

Время сжатия для Шенона-Фано:
4.631821 c

Время распаковки для Шенона-Фано:
17.122073 c

Время сжатия для Хафмена:
4.907942 c

Время распаковки для Хафмена:
16.545711 c

Время сжатия для LZ77_5:
100.461055 c

Время распаковки для LZ77_5:
1.969686 c

Время сжатия для LZ77_10:
194.792887 c

Время распаковки для LZ77_10:
1.662292 c

Время сжатия для LZ77_20:
366.729793 c

Время распаковки для LZ77_20:
1.681480 c

Время сжатия для LZ77_5 + Хафмен
193.189668 c

Время распаковки для LZ77_5 + Хафмен
51.740529 c

Время сжатия для LZ77_10 + Хафмен
328.380111 c

Время распаковки для LZ77_10 + Хафмен
52.562856 c

Время сжатия для LZ77_20 + Хафмен
603.720769 c

Время распаковки для LZ77_20 + Хафмен
41.200414 c

Время сжатия для LZ77_5 + Шенон-Фано
160.582105 c

Время распаковки для LZ77_5 + Шенон-Фано
39.750425 c

Время сжатия для LZ77_10 + Шенон-Фано
279.068932 c

Время распаковки для LZ77_10 + Шенон-Фано
50.414980 c

Время сжатия для LZ77_20 + Шенон-Фано
489.473010 c

Время распаковки для LZ77_20 + Шенон-Фано
25.301435 c

Коэффициен сжатия для .shan - 0.984048
Коэффициен сжатия для .lz775 - 3.335131
Коэффициен сжатия для .lz7710 - 3.193484
Коэффициен сжатия для .lz7720 - 3.324420
Коэффициен сжатия для .huff - 0.980432
Коэффициен сжатия для .lz775h - 1.663734
Коэффициен сжатия для .lz7710h - 1.588778
Коэффициен сжатия для .lz7720h - 1.607335
Коэффициен сжатия для .lz775sh_f - 1.693318
Коэффициен сжатия для .lz7710sh_f - 1.603151
Коэффициен сжатия для .lz7720sh_f - 1.616393
